,ProductID,Name,ProductNumber,MakeFlag,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,StandardCost,ListPrice,Size,SizeUnitMeasureCode,WeightUnitMeasureCode,Weight,DaysToManufacture,ProductLine,Class,Style,ProductSubcategoryID,ProductModelID,SellStartDate,SellEndDate,DiscontinuedDate,rowguid,ModifiedDate,AnnoModifica
4,680,"HL Road Frame - Black, 58",FR-R92B-58,True,True,Black,500,375,1059.31,1431.5,58,CM ,LB ,2.24,1,R ,H ,U ,14.0,6.0,2008-04-30,,,43DD68D6-14A4-461F-9069-55309D90EA7E,2014-02-08 10:01:36.827,2014
6,722,"LL Road Frame - Black, 58",FR-R38B-58,True,True,Black,500,375,204.6251,337.22,58,CM ,LB ,2.46,1,R ,L ,U ,14.0,9.0,2011-05-31,,,2140F256-F705-4D67-975D-32DE03265838,2014-02-08 10:01:36.827,2014
7,723,"LL Road Frame - Black, 60",FR-R38B-60,True,True,Black,500,375,204.6251,337.22,60,CM ,LB ,2.48,1,R ,L ,U ,14.0,9.0,2011-05-31,,,AA95E2A5-E7C4-4B74-B1EA-B52EE3B51537,2014-02-08 10:01:36.827,2014
8,724,"LL Road Frame - Black, 62",FR-R38B-62,True,True,Black,500,375,204.6251,337.22,62,CM ,LB ,2.5,1,R ,L ,U ,14.0,9.0,2011-05-31,,,5247BE33-50BF-4527-8A30-A39AAE500A8E,2014-02-08 10:01:36.827,2014
9,736,"LL Road Frame - Black, 44",FR-R38B-44,True,True,Black,500,375,204.6251,337.22,44,CM ,LB ,2.32,1,R ,L ,U ,14.0,9.0,2011-05-31,,,C9967889-F490-4A66-943A-BCE432E938D8,2014-02-08 10:01:36.827,2014
10,737,"LL Road Frame - Black, 48",FR-R38B-48,True,True,Black,500,375,204.6251,337.22,48,CM ,LB ,2.36,1,R ,L ,U ,14.0,9.0,2011-05-31,,,3B5F29B6-A441-4FF7-A0FA-FAD10E2CEB4C,2014-02-08 10:01:36.827,2014
11,738,"LL Road Frame - Black, 52",FR-R38B-52,True,True,Black,500,375,204.6251,337.22,52,CM ,LB ,2.4,1,R ,L ,U ,14.0,9.0,2011-05-31,,,18FC5D72-A012-4DC7-BB35-0D01A84D0219,2014-02-08 10:01:36.827,2014
12,743,"HL Mountain Frame - Black, 42",FR-M94B-42,True,True,Black,500,375,739.041,1349.6,42,CM ,LB ,2.72,1,M ,H ,U ,12.0,5.0,2011-05-31,,,27DB28F8-5AB8-4091-B94E-6F1B2D8E7AB0,2014-02-08 10:01:36.827,2014
13,744,"HL Mountain Frame - Black, 44",FR-M94B-44,True,True,Black,500,375,699.0928,1349.6,44,CM ,LB ,2.76,1,M ,H ,U ,12.0,5.0,2011-05-31,2012-05-29,,CB443286-6B25-409F-A10B-1AD4EEB4BD4E,2014-02-08 10:01:36.827,2014
14,745,"HL Mountain Frame - Black, 48",FR-M94B-48,True,True,Black,500,375,699.0928,1349.6,48,CM ,LB ,2.8,1,M ,H ,U ,12.0,5.0,2011-05-31,2012-05-29,,1FEE0573-6676-432D-8D6D-41BA9FAA5865,2014-02-08 10:01:36.827,2014
15,746,"HL Mountain Frame - Black, 46",FR-M94B-46,True,True,Black,500,375,739.041,1349.6,46,CM ,LB ,2.84,1,M ,H ,U ,12.0,5.0,2011-05-31,,,50ABEBCB-451E-42B9-8DBB-E5C4A34470E9,2014-02-08 10:01:36.827,2014
16,747,"HL Mountain Frame - Black, 38",FR-M94B-38,True,True,Black,500,375,739.041,1349.6,38,CM ,LB ,2.68,2,M ,H ,U ,12.0,5.0,2011-05-31,,,0C548577-3171-4CE2-B9A0-1ED526849DE8,2014-02-08 10:01:36.827,2014
17,765,"Road-650 Black, 58",BK-R50B-58,True,True,Black,100,75,486.7066,782.99,58,CM ,LB ,19.79,4,R ,L ,U ,2.0,30.0,2011-05-31,2013-05-29,,74645B12-3CE9-49A6-BD96-2CD814B37420,2014-02-08 10:01:36.827,2014
18,766,"Road-650 Black, 60",BK-R50B-60,True,True,Black,100,75,486.7066,782.99,60,CM ,LB ,19.9,4,R ,L ,U ,2.0,30.0,2011-05-31,2013-05-29,,A2DB196D-6640-49EA-A84F-2E87CA6F50C6,2014-02-08 10:01:36.827,2014
19,767,"Road-650 Black, 62",BK-R50B-62,True,True,Black,100,75,486.7066,782.99,62,CM ,LB ,20.0,4,R ,L ,U ,2.0,30.0,2011-05-31,2013-05-29,,C82A8309-63D3-4C0C-AD71-E91272397095,2014-02-08 10:01:36.827,2014
20,768,"Road-650 Black, 44",BK-R50B-44,True,True,Black,100,75,486.7066,782.99,44,CM ,LB ,18.77,4,R ,L ,U ,2.0,30.0,2011-05-31,2013-05-29,,11D563AC-115C-4F0D-A1E5-E946EEE8B38B,2014-02-08 10:01:36.827,2014
21,769,"Road-650 Black, 48",BK-R50B-48,True,True,Black,100,75,486.7066,782.99,48,CM ,LB ,19.13,4,R ,L ,U ,2.0,30.0,2011-05-31,2013-05-29,,A7E2179E-137C-497E-A5E6-C9EA64935FB0,2014-02-08 10:01:36.827,2014
22,770,"Road-650 Black, 52",BK-R50B-52,True,True,Black,100,75,486.7066,782.99,52,CM ,LB ,19.42,4,R ,L ,U ,2.0,30.0,2011-05-31,2013-05-29,,136E2865-E0DA-4624-963A-31349279AB1A,2014-02-08 10:01:36.827,2014
23,775,"Mountain-100 Black, 38",BK-M82B-38,True,True,Black,100,75,1898.0944,3374.99,38,CM ,LB ,20.35,4,M ,H ,U ,1.0,19.0,2011-05-31,2012-05-29,,DEA33347-FCD3-4346-AA0F-068CD6B3AD06,2014-02-08 10:01:36.827,2014
24,776,"Mountain-100 Black, 42",BK-M82B-42,True,True,Black,100,75,1898.0944,3374.99,42,CM ,LB ,20.77,4,M ,H ,U ,1.0,19.0,2011-05-31,2012-05-29,,02935111-A546-4C6D-941F-BE12D42C158E,2014-02-08 10:01:36.827,2014
25,777,"Mountain-100 Black, 44",BK-M82B-44,True,True,Black,100,75,1898.0944,3374.99,44,CM ,LB ,21.13,4,M ,H ,U ,1.0,19.0,2011-05-31,2012-05-29,,7920BC3B-8FD4-4610-93D2-E693A66B6474,2014-02-08 10:01:36.827,2014
26,778,"Mountain-100 Black, 48",BK-M82B-48,True,True,Black,100,75,1898.0944,3374.99,48,CM ,LB ,21.42,4,M ,H ,U ,1.0,19.0,2011-05-31,2012-05-29,,1B486300-7E64-4C5D-A9BA-A8368E20C5A0,2014-02-08 10:01:36.827,2014
27,782,"Mountain-200 Black, 38",BK-M68B-38,True,True,Black,100,75,1251.9813,2294.99,38,CM ,LB ,23.35,4,M ,H ,U ,1.0,20.0,2012-05-30,,,82CB8F9B-B8BB-4841-98D3-BCDB807C4DD8,2014-02-08 10:01:36.827,2014
28,783,"Mountain-200 Black, 42",BK-M68B-42,True,True,Black,100,75,1251.9813,2294.99,42,CM ,LB ,23.77,4,M ,H ,U ,1.0,20.0,2012-05-30,,,2B0AF5B9-7571-4621-B760-47DF599F9650,2014-02-08 10:01:36.827,2014
29,784,"Mountain-200 Black, 46",BK-M68B-46,True,True,Black,100,75,1251.9813,2294.99,46,CM ,LB ,24.13,4,M ,H ,U ,1.0,20.0,2012-05-30,,,33F42284-E216-4B98-BA48-B4EE18A01FA0,2014-02-08 10:01:36.827,2014
30,785,"Mountain-300 Black, 38",BK-M47B-38,True,True,Black,100,75,598.4354,1079.99,38,CM ,LB ,25.35,4,M ,M ,U ,1.0,21.0,2012-05-30,2013-05-29,,F06C2CBF-0901-4C08-80ED-FB4E87171B3B,2014-02-08 10:01:36.827,2014
31,786,"Mountain-300 Black, 40",BK-M47B-40,True,True,Black,100,75,598.4354,1079.99,40,CM ,LB ,25.77,4,M ,M ,U ,1.0,21.0,2012-05-30,2013-05-29,,580D4322-BE03-4C91-83D2-EE33EC6008AB,2014-02-08 10:01:36.827,2014
32,787,"Mountain-300 Black, 44",BK-M47B-44,True,True,Black,100,75,598.4354,1079.99,44,CM ,LB ,26.13,4,M ,M ,U ,1.0,21.0,2012-05-30,2013-05-29,,07C2A548-0452-47B4-9DCE-6EDB0A30C85E,2014-02-08 10:01:36.827,2014
33,788,"Mountain-300 Black, 48",BK-M47B-48,True,True,Black,100,75,598.4354,1079.99,48,CM ,LB ,26.42,4,M ,M ,U ,1.0,21.0,2012-05-30,2013-05-29,,16078DBE-388D-4C18-AA8F-0C8F48035468,2014-02-08 10:01:36.827,2014
34,793,"Road-250 Black, 44",BK-R89B-44,True,True,Black,100,75,1554.9479,2443.35,44,CM ,LB ,14.77,4,R ,H ,U ,2.0,26.0,2012-05-30,,,1FF419B5-52AF-4F7E-AEAE-4FEC5E99DE35,2014-02-08 10:01:36.827,2014
35,794,"Road-250 Black, 48",BK-R89B-48,True,True,Black,100,75,1554.9479,2443.35,48,CM ,LB ,15.13,4,R ,H ,U ,2.0,26.0,2012-05-30,,,9D165DDF-8F5D-41C7-9BB8-13F41A3D1F62,2014-02-08 10:01:36.827,2014
36,795,"Road-250 Black, 52",BK-R89B-52,True,True,Black,100,75,1554.9479,2443.35,52,CM ,LB ,15.42,4,R ,H ,U ,2.0,26.0,2012-05-30,,,74FE3957-CBC3-450A-AB92-849BD13530E2,2014-02-08 10:01:36.827,2014
37,796,"Road-250 Black, 58",BK-R89B-58,True,True,Black,100,75,1554.9479,2443.35,58,CM ,LB ,15.68,4,R ,H ,U ,2.0,26.0,2012-05-30,,,1C530FE8-A169-4ADC-B3DC-B11A48245E63,2014-02-08 10:01:36.827,2014
38,814,"ML Mountain Frame - Black, 38",FR-M63B-38,True,True,Black,500,375,185.8193,348.76,38,CM ,LB ,2.73,2,M ,M ,U ,12.0,15.0,2012-05-30,2013-05-29,,0D879312-A7D3-441D-9D23-B6550BAB3814,2014-02-08 10:01:36.827,2014
53,830,"ML Mountain Frame - Black, 40",FR-M63B-40,True,True,Black,500,375,185.8193,348.76,40,CM ,LB ,2.77,1,M ,M ,U ,12.0,14.0,2012-05-30,2013-05-29,,AED1C9C4-C139-45D2-B38E-0A0A9F518665,2014-02-08 10:01:36.827,2014
54,831,"ML Mountain Frame - Black, 44",FR-M63B-44,True,True,Black,500,375,185.8193,348.76,44,CM ,LB ,2.81,1,M ,M ,U ,12.0,14.0,2012-05-30,2013-05-29,,3F2135D4-EC5F-4E30-BDE8-5444518F0637,2014-02-08 10:01:36.827,2014
55,832,"ML Mountain Frame - Black, 48",FR-M63B-48,True,True,Black,500,375,185.8193,348.76,48,CM ,LB ,2.85,1,M ,M ,U ,12.0,14.0,2012-05-30,2013-05-29,,C2009B69-F15A-47EC-B710-1809D299318A,2014-02-08 10:01:36.827,2014
56,837,"HL Road Frame - Black, 62",FR-R92B-62,True,True,Black,500,375,868.6342,1431.5,62,CM ,LB ,2.3,1,R ,H ,U ,14.0,6.0,2012-05-30,,,5DCE9C8C-FB94-46F8-B826-11658F6A3682,2014-02-08 10:01:36.827,2014
57,838,"HL Road Frame - Black, 44",FR-R92B-44,True,True,Black,500,375,868.6342,1431.5,44,CM ,LB ,2.12,1,R ,H ,U ,14.0,6.0,2012-05-30,,,E4902656-A4BC-4B08-9D47-4F3DA0FD76C3,2014-02-08 10:01:36.827,2014
58,839,"HL Road Frame - Black, 48",FR-R92B-48,True,True,Black,500,375,868.6342,1431.5,48,CM ,LB ,2.16,1,R ,H ,U ,14.0,6.0,2012-05-30,,,557B603B-407B-41A4-AE34-4F7747866DBA,2014-02-08 10:01:36.827,2014
59,840,"HL Road Frame - Black, 52",FR-R92B-52,True,True,Black,500,375,868.6342,1431.5,52,CM ,LB ,2.2,1,R ,H ,U ,14.0,6.0,2012-05-30,,,0ED082B3-FBBA-43AF-9149-8741B9FC78C8,2014-02-08 10:01:36.827,2014
60,841,"Men's Sports Shorts, S",SH-M897-S,False,True,Black,4,3,24.7459,59.99,S,,,,0,S ,,M ,22.0,13.0,2012-05-30,2013-05-29,,34B08C1F-99D1-43C4-8EF7-2CD754B6665D,2014-02-08 10:01:36.827,2014
61,849,"Men's Sports Shorts, M",SH-M897-M,False,True,Black,4,3,24.7459,59.99,M,,,,0,S ,,M ,22.0,13.0,2012-05-30,2013-05-29,,DB37B435-74B9-43D3-B363-ABBEAD107BC4,2014-02-08 10:01:36.827,2014
62,850,"Men's Sports Shorts, L",SH-M897-L,False,True,Black,4,3,24.7459,59.99,L,,,,0,S ,,M ,22.0,13.0,2012-05-30,2013-05-29,,714184C5-669B-4CF1-A802-30E7B1EA7722,2014-02-08 10:01:36.827,2014
63,851,"Men's Sports Shorts, XL",SH-M897-X,False,True,Black,4,3,24.7459,59.99,XL,,,,0,S ,,M ,22.0,13.0,2012-05-30,2013-05-29,,BD3FFE40-FE2E-44CB-A4E0-81786C3A751F,2014-02-08 10:01:36.827,2014
64,852,"Women's Tights, S",TG-W091-S,False,True,Black,4,3,30.9334,74.99,S,,,,0,S ,,W ,24.0,38.0,2012-05-30,2013-05-29,,7DE86C98-4F5B-4155-8572-C977F14EBAEB,2014-02-08 10:01:36.827,2014
65,853,"Women's Tights, M",TG-W091-M,False,True,Black,4,3,30.9334,74.99,M,,,,0,S ,,W ,24.0,38.0,2012-05-30,2013-05-29,,4D8E186C-B8C9-4C64-B411-4995DD87E316,2014-02-08 10:01:36.827,2014
66,854,"Women's Tights, L",TG-W091-L,False,True,Black,4,3,30.9334,74.99,L,,,,0,S ,,W ,24.0,38.0,2012-05-30,2013-05-29,,E378C2F3-54F6-4EA9-B049-E8BB32B5BDFD,2014-02-08 10:01:36.827,2014
67,858,"Half-Finger Gloves, S",GL-H102-S,False,True,Black,4,3,9.1593,24.49,S,,,,0,S ,,U ,20.0,4.0,2012-05-30,,,9E1DB5C3-539D-4061-9433-D762DC195CD8,2014-02-08 10:01:36.827,2014
68,859,"Half-Finger Gloves, M",GL-H102-M,False,True,Black,4,3,9.1593,24.49,M,,,,0,S ,,U ,20.0,4.0,2012-05-30,,,9D458FD5-392D-4AB1-AFEF-6A5548E48858,2014-02-08 10:01:36.827,2014
69,860,"Half-Finger Gloves, L",GL-H102-L,False,True,Black,4,3,9.1593,24.49,L,,,,0,S ,,U ,20.0,4.0,2012-05-30,,,FA710215-925F-4959-81DF-538E72A6A255,2014-02-08 10:01:36.827,2014
70,861,"Full-Finger Gloves, S",GL-F110-S,False,True,Black,4,3,15.6709,37.99,S,,,,0,M ,,U ,20.0,3.0,2012-05-30,2013-05-29,,76FAC097-1FB3-456B-8FB9-2C7A613771B4,2014-02-08 10:01:36.827,2014
71,862,"Full-Finger Gloves, M",GL-F110-M,False,True,Black,4,3,15.6709,37.99,M,,,,0,M ,,U ,20.0,3.0,2012-05-30,2013-05-29,,1084221E-1890-443E-9D87-AFCAD6358355,2014-02-08 10:01:36.827,2014
72,863,"Full-Finger Gloves, L",GL-F110-L,False,True,Black,4,3,15.6709,37.99,L,,,,0,M ,,U ,20.0,3.0,2012-05-30,2013-05-29,,6116F9D4-8A1D-4022-A642-9C445C197203,2014-02-08 10:01:36.827,2014
73,867,"Women's Mountain Shorts, S",SH-W890-S,False,True,Black,4,3,26.1763,69.99,S,,,,0,M ,,W ,22.0,37.0,2013-05-30,,,22616FD2-B99F-4F7D-ACF6-33DFF66D42D2,2014-02-08 10:01:36.827,2014
74,868,"Women's Mountain Shorts, M",SH-W890-M,False,True,Black,4,3,26.1763,69.99,M,,,,0,M ,,W ,22.0,37.0,2013-05-30,,,968E3610-E583-42E8-8AB6-484A799B1774,2014-02-08 10:01:36.827,2014
75,869,"Women's Mountain Shorts, L",SH-W890-L,False,True,Black,4,3,26.1763,69.99,L,,,,0,M ,,W ,22.0,37.0,2013-05-30,,,1A66B244-5CA0-4153-B539-AE048D14FAEC,2014-02-08 10:01:36.827,2014
